Ano,DTCC,Distrito,Concelho,Num_IncendiosRurais,AreaArdPov_NoConcelho,AreaArdMato_NoConcelho,AreaArdAgric_NoConcelho,AreaArdTotal_NoConcelho,AreaArdPov_IncendioInicioConc,AreaArdMato_IncendioInicioConc,AreaArdAgric_IncendioInicioConc,AreaArdTotal_IncendioInicioConc,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2002,1202,PORTALEGRE,ARRONCHES,1,,,,,0.0,4.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,1203,PORTALEGRE,AVIS,2,,,,,0.5,0.0,0.0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2002,1204,PORTALEGRE,CAMPO MAIOR,1,,,,,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,1205,PORTALEGRE,CASTELO DE VIDE,6,,,,,0.5,14.0,0.0,14.5,4,1,1,0,0,0,0,0,0,0,0,0,0,6,0
2002,1206,PORTALEGRE,CRATO,5,,,,,4.0,2.0,0.0,6.0,2,3,0,0,0,0,0,0,0,0,1,0,0,4,0
2002,1207,PORTALEGRE,ELVAS,3,,,,,2.0,1.5,0.0,3.5,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0
2002,1209,PORTALEGRE,GAVIÃO,8,,,,,131.0,194.0,0.0,325.0,5,2,0,0,0,1,0,0,0,0,0,0,1,7,1
2002,1210,PORTALEGRE,MARVÃO,5,,,,,0.5,1.1,0.0,1.6,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0
2002,1212,PORTALEGRE,NISA,7,,,,,129.5,0.0,4.0,133.5,3,2,0,1,1,0,0,0,0,0,1,0,1,5,0
2002,1213,PORTALEGRE,PONTE DE SOR,22,,,,,38.5,41.5,0.0,80.0,9,11,1,1,0,0,0,0,0,0,0,0,2,20,0
2002,1214,PORTALEGRE,PORTALEGRE,12,,,,,3.0,5.0,0.0,8.0,6,6,0,0,0,0,0,0,0,0,0,0,0,12,0
2002,1301,PORTO,AMARANTE,424,,,,,177.8,153.0,3.0,333.8,337,80,5,2,0,0,0,0,0,7,3,28,1,385,0
2002,1302,PORTO,BAIÃO,182,,,,,318.0,233.3,14.4,565.7,93,80,4,3,1,1,0,0,0,1,0,2,0,179,0
2002,1303,PORTO,FELGUEIRAS,345,,,,,15.0,136.1,1.8,152.9,290,55,0,0,0,0,0,0,0,0,0,0,0,345,0
2002,1304,PORTO,GONDOMAR,619,,,,,444.5,79.3,2.6,526.3,556,56,5,1,0,1,0,0,0,0,0,0,0,619,1
2002,1305,PORTO,LOUSADA,264,,,,,89.0,153.6,7.9,250.5,208,54,0,2,0,0,0,0,0,0,0,0,0,264,0
2002,1306,PORTO,MAIA,242,,,,,10.5,62.5,0.4,73.5,217,25,0,0,0,0,0,0,0,0,0,0,0,242,0
2002,1307,PORTO,MARCO DE CANAVESES,587,,,,,228.5,704.4,19.9,952.8,408,172,5,0,1,1,0,0,0,0,0,1,0,586,0
2002,1308,PORTO,MATOSINHOS,148,,,,,15.1,29.9,0.4,45.4,128,20,0,0,0,0,0,0,0,0,0,0,0,148,0
2002,1309,PORTO,PAÇOS DE FERREIRA,397,,,,,1.4,82.6,1.2,85.1,378,18,1,0,0,0,0,0,0,0,0,0,0,397,0
2002,1310,PORTO,PAREDES,817,,,,,184.2,94.9,1.7,280.7,766,47,2,1,1,0,0,0,0,0,0,0,0,817,0
2002,1311,PORTO,PENAFIEL,715,,,,,333.7,135.8,8.7,478.2,624,84,2,4,1,0,0,0,0,0,0,0,0,715,1
2002,1313,PORTO,PÓVOA DE VARZIM,67,,,,,27.3,12.1,0.4,39.7,61,5,0,1,0,0,0,0,0,0,0,0,0,67,0
2002,1314,PORTO,SANTO TIRSO,492,,,,,587.6,86.1,4.9,678.5,410,74,4,2,1,1,0,0,0,0,0,0,0,492,0
2002,1315,PORTO,VALONGO,217,,,,,71.0,43.2,0.4,114.6,193,23,1,0,0,0,0,0,0,0,0,0,0,217,0
2002,1316,PORTO,VILA DO CONDE,217,,,,,88.6,0.2,2.3,91.1,192,25,0,0,0,0,0,0,0,0,0,0,0,217,1
2002,1317,PORTO,VILA NOVA DE GAIA,636,,,,,84.1,145.9,3.7,233.7,582,53,0,0,1,0,0,0,0,0,0,0,0,636,0
2002,1318,PORTO,TROFA,84,,,,,197.2,6.4,0.0,203.6,70,9,3,1,1,0,0,0,0,0,0,1,0,83,0
2002,1401,SANTARÉM,ABRANTES,79,,,,,70.7,12.0,23.1,105.7,59,18,0,2,0,0,0,0,0,1,0,7,0,71,0
2002,1402,SANTARÉM,ALCANENA,42,,,,,69.7,137.7,58.5,265.9,30,8,0,1,3,0,0,0,0,0,3,3,0,36,0
2002,1403,SANTARÉM,ALMEIRIM,35,,,,,21.8,1.0,6.7,29.6,29,4,2,0,0,0,0,0,0,0,0,0,0,35,0
2002,1404,SANTARÉM,ALPIARÇA,11,,,,,3.3,0.0,0.4,3.8,10,1,0,0,0,0,0,0,0,0,0,2,0,9,0
2002,1405,SANTARÉM,BENAVENTE,25,,,,,84.1,1.9,1.0,87.0,16,7,1,0,1,0,0,0,0,0,0,3,0,22,1
2002,1406,SANTARÉM,CARTAXO,20,,,,,4.5,5.2,2.2,11.9,15,5,0,0,0,0,0,0,0,0,0,0,0,20,0
2002,1407,SANTARÉM,CHAMUSCA,29,,,,,88.1,2.2,8.0,98.4,23,5,0,0,1,0,0,0,0,0,0,2,0,27,1
2002,1408,SANTARÉM,CONSTÂNCIA,15,,,,,15.7,0.1,0.2,16.1,12,3,0,0,0,0,0,0,0,0,0,0,0,15,0
2002,1409,SANTARÉM,CORUCHE,42,,,,,55.2,9.1,4.9,69.3,26,15,1,0,0,0,0,0,0,0,0,4,2,36,0
2002,1410,SANTARÉM,ENTRONCAMENTO,5,,,,,0.3,0.0,0.0,0.3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2002,1411,SANTARÉM,FERREIRA DO ZÊZERE,15,,,,,3.3,0.0,0.0,3.4,14,1,0,0,0,0,0,0,0,0,0,0,0,15,0
2002,1412,SANTARÉM,GOLEGÃ,4,,,,,0.0,0.2,0.0,0.2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2002,1413,SANTARÉM,MAÇÃO,25,,,,,165.7,6.4,0.8,172.9,17,4,1,2,1,0,0,0,0,1,3,1,1,19,2
2002,1414,SANTARÉM,RIO MAIOR,95,,,,,979.5,262.0,147.6,1389.1,77,12,1,2,0,1,2,0,0,1,1,34,3,56,2
2002,1415,SANTARÉM,SALVATERRA DE MAGOS,61,,,,,241.3,36.2,6.0,283.6,50,8,1,1,0,1,0,0,0,0,1,3,0,57,1
2002,1416,SANTARÉM,SANTARÉM,148,,,,,119.6,505.1,20.4,645.1,120,23,0,3,0,2,0,0,0,1,4,25,2,116,1
2002,1417,SANTARÉM,SARDOAL,13,,,,,191.5,8.0,18.3,217.8,11,1,0,0,0,1,0,0,0,1,0,1,1,10,1
2002,1418,SANTARÉM,TOMAR,115,,,,,1996.4,343.5,203.0,2543.0,91,15,1,0,2,4,1,1,0,2,5,19,3,86,6
2002,1419,SANTARÉM,TORRES NOVAS,50,,,,,331.9,287.5,289.6,909.0,39,4,2,3,0,1,1,0,0,0,0,0,2,48,3
2002,1420,SANTARÉM,VILA NOVA DA BARQUINHA,25,,,,,31.0,13.6,4.0,48.6,20,3,1,1,0,0,0,0,0,1,0,1,2,21,0
2002,1421,SANTARÉM,OURÉM,159,,,,,549.8,103.8,13.5,667.1,124,27,3,1,2,2,0,0,0,0,8,28,1,122,3
2002,1501,SETÚBAL,ALCÁCER DO SAL,17,,,,,778.1,0.0,60.0,838.1,8,4,1,0,2,2,0,0,0,3,0,0,2,12,1
2002,1502,SETÚBAL,ALCOCHETE,13,,,,,10.1,6.0,2.5,18.6,8,4,1,0,0,0,0,0,0,0,0,0,0,13,0
2002,1503,SETÚBAL,ALMADA,89,,,,,14.0,7.3,0.0,21.3,81,8,0,0,0,0,0,0,0,0,0,0,0,89,0
2002,1504,SETÚBAL,BARREIRO,15,,,,,101.1,1.6,1.2,103.8,11,3,0,0,0,1,0,0,0,0,0,1,1,13,1
2002,1505,SETÚBAL,GRÂNDOLA,14,,,,,37.5,1.0,0.0,38.5,3,11,0,0,0,0,0,0,0,1,0,0,2,11,0
2002,1506,SETÚBAL,MOITA,37,,,,,13.1,5.1,0.0,18.3,32,5,0,0,0,0,0,0,0,0,0,0,0,37,0
2002,1507,SETÚBAL,MONTIJO,106,,,,,55.8,16.9,15.0,87.7,88,16,1,1,0,0,0,0,0,0,0,0,0,106,1
2002,1508,SETÚBAL,PALMELA,179,,,,,182.6,19.7,35.6,237.8,135,41,1,0,2,0,0,0,0,0,0,1,0,178,0
2002,1509,SETÚBAL,SANTIAGO DO CACÉM,35,,,,,129.8,4.5,26.0,160.3,26,6,0,2,1,0,0,0,0,2,0,0,4,29,0
2002,1510,SETÚBAL,SEIXAL,119,,,,,34.5,9.5,1.1,45.1,104,14,1,0,0,0,0,0,0,0,0,0,0,119,0
2002,1511,SETÚBAL,SESIMBRA,56,,,,,14.3,8.5,5.9,28.7,47,9,0,0,0,0,0,0,0,0,0,0,0,56,0
2002,1512,SETÚBAL,SETÚBAL,93,,,,,27.4,30.2,3.1,60.6,73,19,1,0,0,0,0,0,0,0,0,1,0,92,1
2002,1513,SETÚBAL,SINES,13,,,,,8.3,0.9,0.0,9.2,10,3,0,0,0,0,0,0,0,0,0,0,1,12,0
2002,1601,VIANA DO CASTELO,ARCOS DE VALDEVEZ,300,,,,,473.3,587.2,42.1,1102.6,107,168,15,7,2,1,0,0,0,1,0,0,0,299,0
2002,1602,VIANA DO CASTELO,CAMINHA,122,,,,,52.6,436.4,4.4,493.5,93,22,4,1,0,2,0,0,0,1,1,2,0,118,0
