Ano,Distrito,Num_IncendiosRurais,AreaArdPov_NoDistrito,AreaArdMato_NoDistrito,AreaArdAgric_NoDistrito,AreaArdTotal_NoDistrito,AreaArdPov_IncendioInicioDist,AreaArdMato_IncendioInicioDist,AreaArdAgric_IncendioInicioDist,AreaArdTotal_IncendioInicioDist,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2007,LEIRIA,1184,,,,,299,2430,47,2776,1087,90,1,3,0,2,0,1,4,709,147,33,268,23,2
2007,LISBOA,2919,,,,,159,969,291,1419,2470,444,4,0,0,1,0,0,0,21,13,1,226,2658,1
2007,PORTALEGRE,394,,,,,790,107,983,1881,322,54,11,5,0,1,0,1,10,112,21,2,96,153,1
2007,PORTO,3636,,,,,632,787,12,1431,3298,322,12,2,1,1,0,0,0,2,0,7,231,3396,7
2007,SANTARÉM,1249,,,,,2024,952,568,3544,1108,134,3,2,0,1,0,1,8,99,56,0,368,718,1
2007,SETÚBAL,1345,,,,,641,401,130,1172,1210,118,10,5,0,2,0,0,1,22,1,0,15,1306,2
2007,VIANA DO CASTELO,1366,,,,,368,1599,19,1985,1020,307,16,17,5,1,0,0,4,282,215,30,25,810,5
2007,VILA REAL,1356,,,,,729,2495,19,3243,853,463,15,14,7,4,0,0,0,91,69,0,23,1173,7
2007,VISEU,2020,,,,,694,1625,2,2321,1605,387,10,13,2,3,0,0,9,634,311,185,803,78,5
2008,AVEIRO,1509,,,,,210,97,17,324,1441,64,2,1,1,0,0,0,0,348,73,101,911,76,3
2008,BEJA,451,,,,,97,22,602,721,340,92,9,9,1,0,0,0,1,40,11,7,48,344,2
2008,BRAGA,1186,,,,,321,1106,17,1445,933,229,14,7,0,3,0,0,2,131,212,37,366,438,2
2008,BRAGANÇA,798,,,,,353,2182,43,2578,515,229,26,18,7,3,0,0,3,154,58,5,86,492,8
2008,CASTELO BRANCO,773,,,,,768,1018,263,2048,659,98,3,6,3,4,0,0,2,94,15,12,565,85,29
2008,COIMBRA,807,,,,,386,230,12,628,769,33,2,0,2,1,0,0,0,180,77,1,540,9,8
2008,ÉVORA,388,,,,,56,9,201,266,340,44,2,2,0,0,0,0,0,33,3,7,66,279,1
2008,FARO,531,,,,,109,191,5,305,487,41,1,0,1,1,0,0,1,30,5,0,41,454,7
2008,GUARDA,1036,,,,,713,2778,538,4029,629,354,22,18,9,3,1,0,9,647,92,16,195,77,25
2008,LEIRIA,919,,,,,83,177,26,285,848,69,1,0,1,0,0,0,0,579,66,24,245,5,3
2008,LISBOA,2292,,,,,446,847,182,1474,1933,345,9,2,2,1,0,0,0,16,8,2,149,2117,14
2008,PORTALEGRE,349,,,,,20,13,165,198,313,33,1,1,1,0,0,0,1,89,20,1,126,112,3
2008,PORTO,2421,,,,,197,376,6,579,2272,140,7,2,0,0,0,0,0,1,4,16,230,2170,4
2008,SANTARÉM,1023,,,,,509,335,227,1071,885,133,2,2,0,0,1,0,2,122,138,0,160,601,14
2008,SETÚBAL,1236,,,,,134,155,112,401,1137,92,3,4,0,0,0,0,0,30,0,0,50,1156,2
2008,VIANA DO CASTELO,691,,,,,454,356,1,811,567,113,3,5,2,1,0,0,3,242,287,50,94,15,1
2008,VILA REAL,1113,,,,,291,1302,10,1603,741,343,17,9,3,0,0,0,3,170,120,0,81,739,11
2008,VISEU,1435,,,,,313,817,0,1130,1174,251,2,5,2,1,0,0,1,584,381,40,414,15,2
2009,AVEIRO,2329,,,,,629,861,25,1515,2199,114,7,5,1,3,0,0,0,193,50,265,788,1033,16
2009,BEJA,405,,,,,238,645,495,1378,314,77,4,5,2,2,1,0,7,57,3,0,74,264,6
2009,BRAGA,3252,,,,,3004,8650,16,11670,2461,609,55,77,32,16,1,1,1,166,546,247,1035,1257,28
2009,BRAGANÇA,1094,,,,,1237,6891,71,8198,622,389,37,24,12,6,2,2,1,260,55,14,42,722,35
2009,CASTELO BRANCO,629,,,,,255,312,152,720,524,90,7,6,1,1,0,0,21,56,40,6,506,0,15
2009,COIMBRA,775,,,,,284,79,18,381,705,64,4,1,0,1,0,0,8,341,83,2,324,17,5
2009,ÉVORA,318,,,,,38,5,206,249,270,44,1,2,1,0,0,0,5,71,0,5,112,125,0
2009,FARO,618,,,,,379,1362,54,1796,563,50,4,0,0,0,0,1,0,46,4,0,99,469,17
2009,GUARDA,1216,,,,,6453,12083,3618,22154,687,443,24,21,18,17,2,4,38,776,88,46,232,36,47
2009,LEIRIA,740,,,,,135,262,26,422,690,45,3,1,0,1,0,0,0,393,80,20,246,1,10
2009,LISBOA,1931,,,,,179,498,132,809,1674,252,3,1,0,1,0,0,0,13,9,1,100,1808,14
2009,PORTALEGRE,306,,,,,9,29,104,141,272,32,2,0,0,0,0,0,19,97,6,0,117,67,0
2009,PORTO,6959,,,,,3689,5472,30,9191,6069,800,44,27,8,7,4,0,0,74,120,34,224,6507,54
2009,SANTARÉM,844,,,,,103,71,102,276,744,99,1,0,0,0,0,0,2,82,213,0,32,515,12
2009,SETÚBAL,956,,,,,249,138,61,448,877,72,4,2,0,1,0,0,0,55,6,1,115,779,8
2009,VIANA DO CASTELO,2059,,,,,1089,4767,8,5864,1544,422,34,33,18,8,0,0,0,793,869,359,38,0,26
2009,VILA REAL,2703,,,,,4490,13560,186,18236,1459,1073,60,46,27,33,3,2,2,667,444,45,66,1479,52
2009,VISEU,2649,,,,,1638,7040,0,8678,1906,653,33,28,13,14,2,0,22,1050,924,227,421,5,53
2010,AVEIRO,2871,,,,,5828,2470,5,8303,2689,139,10,14,6,8,2,3,1,95,125,231,2007,412,37
2010,BEJA,352,,,,,180,49,565,795,262,75,5,9,0,1,0,0,4,74,6,6,68,194,4
2010,BRAGA,2564,,,,,3991,10404,51,14446,1999,439,38,43,27,12,4,2,1,215,126,214,262,1746,35
2010,BRAGANÇA,572,,,,,1114,3656,200,4970,364,165,14,16,6,5,1,1,1,155,49,10,50,307,13
2010,CASTELO BRANCO,508,,,,,437,1055,397,1888,430,60,4,6,5,3,0,0,15,76,42,10,364,1,19
2010,COIMBRA,851,,,,,957,529,44,1530,775,63,7,3,1,1,1,0,17,220,178,70,214,152,19
2010,ÉVORA,352,,,,,317,156,601,1073,263,68,10,8,0,3,0,0,2,83,2,12,167,86,8
2010,FARO,376,,,,,27,78,84,188,345,28,1,1,1,0,0,0,0,56,1,0,119,200,6
2010,GUARDA,824,,,,,8260,17218,5637,31116,520,248,12,12,7,14,3,8,20,545,82,41,115,21,38
2010,LEIRIA,787,,,,,422,825,29,1277,741,40,2,2,0,1,1,0,7,373,60,43,301,3,10
2010,LISBOA,1883,,,,,58,765,121,945,1658,213,8,1,3,0,0,0,0,57,20,3,1666,137,24
2010,PORTALEGRE,296,,,,,192,26,320,537,247,40,3,3,2,1,0,0,4,95,7,3,150,37,3
2010,PORTO,6221,,,,,3419,5133,69,8621,5650,475,37,29,15,13,2,0,1,189,144,600,920,4367,69
2010,SANTARÉM,878,,,,,806,393,164,1364,764,103,2,4,3,1,1,0,1,141,187,10,49,490,20
2010,SETÚBAL,943,,,,,1755,506,91,2353,854,80,3,3,2,0,0,1,0,84,15,8,124,712,14
2010,VIANA DO CASTELO,2269,,,,,6384,17492,22,23899,1527,550,63,61,25,32,7,4,4,545,856,856,8,0,63
2010,VILA REAL,1388,,,,,6598,11860,293,18751,965,342,16,24,11,24,3,3,14,454,243,186,70,421,45
2010,VISEU,2178,,,,,5307,13586,5,18897,1715,393,17,13,15,17,3,5,21,704,702,419,320,12,48
2011,AVEIRO,3096,,,,,2096,579,7,2682,2918,143,11,14,8,1,1,0,2,692,180,1077,1112,33,20
2011,BEJA,359,,,,,163,58,701,922,248,90,8,10,3,0,0,0,3,101,11,7,161,76,4
2011,BRAGA,3476,,,,,2547,4949,52,7548,2694,654,55,43,19,10,1,0,1,275,325,572,170,2133,54
2011,BRAGANÇA,1080,,,,,1081,10055,298,11435,586,374,52,29,20,16,0,3,2,466,67,35,72,438,33
2011,CASTELO BRANCO,496,,,,,1346,1810,598,3754,423,57,3,5,3,3,1,1,10,116,118,6,231,15,20
2011,COIMBRA,987,,,,,443,145,23,611,916,61,0,8,2,0,0,0,14,445,245,31,199,53,11
2011,ÉVORA,216,,,,,490,0,277,768,168,36,5,3,2,2,0,0,0,87,9,0,91,29,3
2011,FARO,441,,,,,19,100,49,168,378,62,1,0,0,0,0,0,0,76,3,2,129,231,3
2011,GUARDA,862,,,,,1724,9544,1535,12803,477,274,28,35,21,23,3,1,9,565,132,39,103,14,48
2011,LEIRIA,933,,,,,901,1199,45,2145,833,86,3,6,1,3,1,0,3,303,43,68,467,49,17
2011,LISBOA,2213,,,,,190,1146,268,1603,1882,308,14,6,3,0,0,0,0,223,29,10,1692,259,22
2011,PORTALEGRE,308,,,,,89,75,283,447,255,44,3,4,2,0,0,0,4,99,12,1,164,28,1
2011,PORTO,6691,,,,,2113,2657,32,4802,6016,621,24,17,6,7,0,0,1,1093,496,912,617,3572,54
2011,SANTARÉM,873,,,,,240,185,265,691,778,84,4,5,1,1,0,0,1,194,208,14,201,255,29
2011,SETÚBAL,888,,,,,100,111,81,292,825,59,2,2,0,0,0,0,0,135,26,10,372,345,6
2011,VIANA DO CASTELO,2428,,,,,2303,2474,46,4822,1864,488,35,26,7,8,0,0,3,521,579,538,21,766,30
2011,VILA REAL,2092,,,,,2453,11805,30,14288,1236,738,41,34,19,16,7,1,14,828,349,177,53,671,39
2011,VISEU,2343,,,,,1739,5585,1,7325,1844,423,30,20,15,7,4,0,22,857,713,237,496,18,38
2012,AVEIRO,2325,,,,,2327,363,5,2695,2143,151,18,8,1,3,1,0,0,581,165,640,923,16,1
2012,BEJA,324,,,,,721,74,420,1215,251,64,4,3,0,1,1,0,1,91,26,1,152,53,0
2012,BRAGA,2333,,,,,4315,4615,20,8950,1766,440,56,38,16,16,0,1,3,615,362,309,304,740,4
2012,BRAGANÇA,1104,,,,,2641,12183,300,15123,574,391,53,40,18,22,5,1,4,534,42,3,113,408,5
2012,CASTELO BRANCO,572,,,,,1231,785,139,2156,487,64,7,6,2,6,0,0,5,188,87,6,279,7,1
2012,COIMBRA,1119,,,,,5926,1153,11,7090,1007,84,3,8,5,9,3,0,4,478,297,47,221,72,3
2012,ÉVORA,369,,,,,338,3,243,584,320,41,2,4,1,1,0,0,0,98,3,2,263,3,0
2012,FARO,574,,,,,6360,15823,3425,25607,518,50,1,1,2,1,0,1,0,132,20,3,119,300,1
2012,GUARDA,766,,,,,4562,4655,479,9696,375,284,35,42,18,10,0,2,8,490,159,24,84,1,4
2012,LEIRIA,1033,,,,,1734,727,50,2511,904,109,4,6,3,5,2,0,2,326,134,103,467,1,2
